name	unit	short_desc	long_desc
zone/Z05/co2	ppm	CO2 concentration, zone Z05 (basement)	CO2 concentration for zone Z05 (basement). Sensor: Siemens PL-Link semi-flush room sensor (QPA2x family) — capacitive humidity element with NDIR CO2 cell [sensorinfo, "Room Comfort" spec sheet] (accuracy ±50 ppm + 5% measured value [sensorinfo, "Room Comfort" spec sheet], range 0–5000 ppm [sensorinfo, "Room Comfort" spec sheet]). 15 [han24, Table 3] sensors total. Missing-data: Y1 2.04%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is wider: ±120 ppm at 300–1000 ppm, ±250 ppm at 1000–2000 ppm, ±300 ppm at 2000–5000 ppm; range 300–9999 ppm. Use these as the practical error bars rather than the sensor-element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z11/co2	ppm	CO2 concentration, zone Z11 (1st floor)	CO2 concentration for zone Z11 (1st floor). Sensor: Siemens PL-Link semi-flush room sensor (QPA2x family) — capacitive humidity element with NDIR CO2 cell [sensorinfo, "Room Comfort" spec sheet] (accuracy ±50 ppm + 5% measured value [sensorinfo, "Room Comfort" spec sheet], range 0–5000 ppm [sensorinfo, "Room Comfort" spec sheet]). 15 [han24, Table 3] sensors total. Missing-data: Y1 2.04%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is wider: ±120 ppm at 300–1000 ppm, ±250 ppm at 1000–2000 ppm, ±300 ppm at 2000–5000 ppm; range 300–9999 ppm. Use these as the practical error bars rather than the sensor-element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z12_Z13/co2	ppm	CO2 concentration, zone Z12_Z13 (1st floor)	CO2 concentration for zone Z12_Z13 (1st floor). Sensor: Siemens PL-Link semi-flush room sensor (QPA2x family) — capacitive humidity element with NDIR CO2 cell [sensorinfo, "Room Comfort" spec sheet] (accuracy ±50 ppm + 5% measured value [sensorinfo, "Room Comfort" spec sheet], range 0–5000 ppm [sensorinfo, "Room Comfort" spec sheet]). 15 [han24, Table 3] sensors total. Missing-data: Y1 2.04%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is wider: ±120 ppm at 300–1000 ppm, ±250 ppm at 1000–2000 ppm, ±300 ppm at 2000–5000 ppm; range 300–9999 ppm. Use these as the practical error bars rather than the sensor-element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z15_Z16/co2	ppm	CO2 concentration, zone Z15_Z16 (1st floor)	CO2 concentration for zone Z15_Z16 (1st floor). Sensor: Siemens PL-Link semi-flush room sensor (QPA2x family) — capacitive humidity element with NDIR CO2 cell [sensorinfo, "Room Comfort" spec sheet] (accuracy ±50 ppm + 5% measured value [sensorinfo, "Room Comfort" spec sheet], range 0–5000 ppm [sensorinfo, "Room Comfort" spec sheet]). 15 [han24, Table 3] sensors total. Missing-data: Y1 2.04%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is wider: ±120 ppm at 300–1000 ppm, ±250 ppm at 1000–2000 ppm, ±300 ppm at 2000–5000 ppm; range 300–9999 ppm. Use these as the practical error bars rather than the sensor-element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z17/co2	ppm	CO2 concentration, zone Z17 (1st floor)	CO2 concentration for zone Z17 (1st floor). Sensor: Siemens PL-Link semi-flush room sensor (QPA2x family) — capacitive humidity element with NDIR CO2 cell [sensorinfo, "Room Comfort" spec sheet] (accuracy ±50 ppm + 5% measured value [sensorinfo, "Room Comfort" spec sheet], range 0–5000 ppm [sensorinfo, "Room Comfort" spec sheet]). 15 [han24, Table 3] sensors total. Missing-data: Y1 2.04%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is wider: ±120 ppm at 300–1000 ppm, ±250 ppm at 1000–2000 ppm, ±300 ppm at 2000–5000 ppm; range 300–9999 ppm. Use these as the practical error bars rather than the sensor-element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z21/co2	ppm	CO2 concentration, zone Z21 (2nd floor)	CO2 concentration for zone Z21 (2nd floor). Sensor: Siemens PL-Link semi-flush room sensor (QPA2x family) — capacitive humidity element with NDIR CO2 cell [sensorinfo, "Room Comfort" spec sheet] (accuracy ±50 ppm + 5% measured value [sensorinfo, "Room Comfort" spec sheet], range 0–5000 ppm [sensorinfo, "Room Comfort" spec sheet]). 15 [han24, Table 3] sensors total. Missing-data: Y1 2.04%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is wider: ±120 ppm at 300–1000 ppm, ±250 ppm at 1000–2000 ppm, ±300 ppm at 2000–5000 ppm; range 300–9999 ppm. Use these as the practical error bars rather than the sensor-element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z22_Z23/co2	ppm	CO2 concentration, zone Z22_Z23 (2nd floor)	CO2 concentration for zone Z22_Z23 (2nd floor). Sensor: Siemens PL-Link semi-flush room sensor (QPA2x family) — capacitive humidity element with NDIR CO2 cell [sensorinfo, "Room Comfort" spec sheet] (accuracy ±50 ppm + 5% measured value [sensorinfo, "Room Comfort" spec sheet], range 0–5000 ppm [sensorinfo, "Room Comfort" spec sheet]). 15 [han24, Table 3] sensors total. Missing-data: Y1 2.04%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is wider: ±120 ppm at 300–1000 ppm, ±250 ppm at 1000–2000 ppm, ±300 ppm at 2000–5000 ppm; range 300–9999 ppm. Use these as the practical error bars rather than the sensor-element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z24/co2	ppm	CO2 concentration, zone Z24 (2nd floor)	CO2 concentration for zone Z24 (2nd floor). Sensor: Siemens PL-Link semi-flush room sensor (QPA2x family) — capacitive humidity element with NDIR CO2 cell [sensorinfo, "Room Comfort" spec sheet] (accuracy ±50 ppm + 5% measured value [sensorinfo, "Room Comfort" spec sheet], range 0–5000 ppm [sensorinfo, "Room Comfort" spec sheet]). 15 [han24, Table 3] sensors total. Missing-data: Y1 2.04%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is wider: ±120 ppm at 300–1000 ppm, ±250 ppm at 1000–2000 ppm, ±300 ppm at 2000–5000 ppm; range 300–9999 ppm. Use these as the practical error bars rather than the sensor-element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z25_Z26_Z27/co2	ppm	CO2 concentration, zone Z25_Z26_Z27 (2nd floor)	CO2 concentration for zone Z25_Z26_Z27 (2nd floor). Sensor: Siemens PL-Link semi-flush room sensor (QPA2x family) — capacitive humidity element with NDIR CO2 cell [sensorinfo, "Room Comfort" spec sheet] (accuracy ±50 ppm + 5% measured value [sensorinfo, "Room Comfort" spec sheet], range 0–5000 ppm [sensorinfo, "Room Comfort" spec sheet]). 15 [han24, Table 3] sensors total. Missing-data: Y1 2.04%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is wider: ±120 ppm at 300–1000 ppm, ±250 ppm at 1000–2000 ppm, ±300 ppm at 2000–5000 ppm; range 300–9999 ppm. Use these as the practical error bars rather than the sensor-element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z31/co2	ppm	CO2 concentration, zone Z31 (3rd floor)	CO2 concentration for zone Z31 (3rd floor). Sensor: Siemens PL-Link semi-flush room sensor (QPA2x family) — capacitive humidity element with NDIR CO2 cell [sensorinfo, "Room Comfort" spec sheet] (accuracy ±50 ppm + 5% measured value [sensorinfo, "Room Comfort" spec sheet], range 0–5000 ppm [sensorinfo, "Room Comfort" spec sheet]). 15 [han24, Table 3] sensors total. Missing-data: Y1 2.04%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is wider: ±120 ppm at 300–1000 ppm, ±250 ppm at 1000–2000 ppm, ±300 ppm at 2000–5000 ppm; range 300–9999 ppm. Use these as the practical error bars rather than the sensor-element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z32/co2	ppm	CO2 concentration, zone Z32 (3rd floor)	CO2 concentration for zone Z32 (3rd floor). Sensor: Siemens PL-Link semi-flush room sensor (QPA2x family) — capacitive humidity element with NDIR CO2 cell [sensorinfo, "Room Comfort" spec sheet] (accuracy ±50 ppm + 5% measured value [sensorinfo, "Room Comfort" spec sheet], range 0–5000 ppm [sensorinfo, "Room Comfort" spec sheet]). 15 [han24, Table 3] sensors total. Missing-data: Y1 2.04%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is wider: ±120 ppm at 300–1000 ppm, ±250 ppm at 1000–2000 ppm, ±300 ppm at 2000–5000 ppm; range 300–9999 ppm. Use these as the practical error bars rather than the sensor-element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z33/co2	ppm	CO2 concentration, zone Z33 (3rd floor)	CO2 concentration for zone Z33 (3rd floor). Sensor: Siemens PL-Link semi-flush room sensor (QPA2x family) — capacitive humidity element with NDIR CO2 cell [sensorinfo, "Room Comfort" spec sheet] (accuracy ±50 ppm + 5% measured value [sensorinfo, "Room Comfort" spec sheet], range 0–5000 ppm [sensorinfo, "Room Comfort" spec sheet]). 15 [han24, Table 3] sensors total. Missing-data: Y1 2.04%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is wider: ±120 ppm at 300–1000 ppm, ±250 ppm at 1000–2000 ppm, ±300 ppm at 2000–5000 ppm; range 300–9999 ppm. Use these as the practical error bars rather than the sensor-element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z01/humidity	%	relative humidity, zone Z01 (basement)	Relative humidity for zone Z01 (basement). Sensor: Siemens PL-Link QPA25xx, capacitive RH element [sensorinfo, "Room Comfort" spec sheet] (accuracy ±2% rh, 5–95% [sensorinfo, "Room Comfort" spec sheet], range 0–100% rh). 15 [han24, Table 3] sensors total. Missing-data: Y1 1.95%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is ±5% over 1–100% rh. Treat that as the practical error bar. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z03/humidity	%	relative humidity, zone Z03 (basement)	Relative humidity for zone Z03 (basement). Sensor: Siemens PL-Link QPA25xx, capacitive RH element [sensorinfo, "Room Comfort" spec sheet] (accuracy ±2% rh, 5–95% [sensorinfo, "Room Comfort" spec sheet], range 0–100% rh). 15 [han24, Table 3] sensors total. Missing-data: Y1 1.95%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is ±5% over 1–100% rh. Treat that as the practical error bar. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z04/humidity	%	relative humidity, zone Z04 (basement)	Relative humidity for zone Z04 (basement). Sensor: Siemens PL-Link QPA25xx, capacitive RH element [sensorinfo, "Room Comfort" spec sheet] (accuracy ±2% rh, 5–95% [sensorinfo, "Room Comfort" spec sheet], range 0–100% rh). 15 [han24, Table 3] sensors total. Missing-data: Y1 1.95%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is ±5% over 1–100% rh. Treat that as the practical error bar. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z05/humidity	%	relative humidity, zone Z05 (basement)	Relative humidity for zone Z05 (basement). Sensor: Siemens PL-Link QPA25xx, capacitive RH element [sensorinfo, "Room Comfort" spec sheet] (accuracy ±2% rh, 5–95% [sensorinfo, "Room Comfort" spec sheet], range 0–100% rh). 15 [han24, Table 3] sensors total. Missing-data: Y1 1.95%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is ±5% over 1–100% rh. Treat that as the practical error bar. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z11/humidity	%	relative humidity, zone Z11 (1st floor)	Relative humidity for zone Z11 (1st floor). Sensor: Siemens PL-Link QPA25xx, capacitive RH element [sensorinfo, "Room Comfort" spec sheet] (accuracy ±2% rh, 5–95% [sensorinfo, "Room Comfort" spec sheet], range 0–100% rh). 15 [han24, Table 3] sensors total. Missing-data: Y1 1.95%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is ±5% over 1–100% rh. Treat that as the practical error bar. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z12_Z13/humidity	%	relative humidity, zone Z12_Z13 (1st floor)	Relative humidity for zone Z12_Z13 (1st floor). Sensor: Siemens PL-Link QPA25xx, capacitive RH element [sensorinfo, "Room Comfort" spec sheet] (accuracy ±2% rh, 5–95% [sensorinfo, "Room Comfort" spec sheet], range 0–100% rh). 15 [han24, Table 3] sensors total. Missing-data: Y1 1.95%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is ±5% over 1–100% rh. Treat that as the practical error bar. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z15_Z16/humidity	%	relative humidity, zone Z15_Z16 (1st floor)	Relative humidity for zone Z15_Z16 (1st floor). Sensor: Siemens PL-Link QPA25xx, capacitive RH element [sensorinfo, "Room Comfort" spec sheet] (accuracy ±2% rh, 5–95% [sensorinfo, "Room Comfort" spec sheet], range 0–100% rh). 15 [han24, Table 3] sensors total. Missing-data: Y1 1.95%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is ±5% over 1–100% rh. Treat that as the practical error bar. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z17/humidity	%	relative humidity, zone Z17 (1st floor)	Relative humidity for zone Z17 (1st floor). Sensor: Siemens PL-Link QPA25xx, capacitive RH element [sensorinfo, "Room Comfort" spec sheet] (accuracy ±2% rh, 5–95% [sensorinfo, "Room Comfort" spec sheet], range 0–100% rh). 15 [han24, Table 3] sensors total. Missing-data: Y1 1.95%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is ±5% over 1–100% rh. Treat that as the practical error bar. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z21/humidity	%	relative humidity, zone Z21 (2nd floor)	Relative humidity for zone Z21 (2nd floor). Sensor: Siemens PL-Link QPA25xx, capacitive RH element [sensorinfo, "Room Comfort" spec sheet] (accuracy ±2% rh, 5–95% [sensorinfo, "Room Comfort" spec sheet], range 0–100% rh). 15 [han24, Table 3] sensors total. Missing-data: Y1 1.95%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is ±5% over 1–100% rh. Treat that as the practical error bar. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z22_Z23/humidity	%	relative humidity, zone Z22_Z23 (2nd floor)	Relative humidity for zone Z22_Z23 (2nd floor). Sensor: Siemens PL-Link QPA25xx, capacitive RH element [sensorinfo, "Room Comfort" spec sheet] (accuracy ±2% rh, 5–95% [sensorinfo, "Room Comfort" spec sheet], range 0–100% rh). 15 [han24, Table 3] sensors total. Missing-data: Y1 1.95%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is ±5% over 1–100% rh. Treat that as the practical error bar. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z24/humidity	%	relative humidity, zone Z24 (2nd floor)	Relative humidity for zone Z24 (2nd floor). Sensor: Siemens PL-Link QPA25xx, capacitive RH element [sensorinfo, "Room Comfort" spec sheet] (accuracy ±2% rh, 5–95% [sensorinfo, "Room Comfort" spec sheet], range 0–100% rh). 15 [han24, Table 3] sensors total. Missing-data: Y1 1.95%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is ±5% over 1–100% rh. Treat that as the practical error bar. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z25_Z26_Z27/humidity	%	relative humidity, zone Z25_Z26_Z27 (2nd floor)	Relative humidity for zone Z25_Z26_Z27 (2nd floor). Sensor: Siemens PL-Link QPA25xx, capacitive RH element [sensorinfo, "Room Comfort" spec sheet] (accuracy ±2% rh, 5–95% [sensorinfo, "Room Comfort" spec sheet], range 0–100% rh). 15 [han24, Table 3] sensors total. Missing-data: Y1 1.95%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is ±5% over 1–100% rh. Treat that as the practical error bar. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z31/humidity	%	relative humidity, zone Z31 (3rd floor)	Relative humidity for zone Z31 (3rd floor). Sensor: Siemens PL-Link QPA25xx, capacitive RH element [sensorinfo, "Room Comfort" spec sheet] (accuracy ±2% rh, 5–95% [sensorinfo, "Room Comfort" spec sheet], range 0–100% rh). 15 [han24, Table 3] sensors total. Missing-data: Y1 1.95%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is ±5% over 1–100% rh. Treat that as the practical error bar. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z32/humidity	%	relative humidity, zone Z32 (3rd floor)	Relative humidity for zone Z32 (3rd floor). Sensor: Siemens PL-Link QPA25xx, capacitive RH element [sensorinfo, "Room Comfort" spec sheet] (accuracy ±2% rh, 5–95% [sensorinfo, "Room Comfort" spec sheet], range 0–100% rh). 15 [han24, Table 3] sensors total. Missing-data: Y1 1.95%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is ±5% over 1–100% rh. Treat that as the practical error bar. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z33/humidity	%	relative humidity, zone Z33 (3rd floor)	Relative humidity for zone Z33 (3rd floor). Sensor: Siemens PL-Link QPA25xx, capacitive RH element [sensorinfo, "Room Comfort" spec sheet] (accuracy ±2% rh, 5–95% [sensorinfo, "Room Comfort" spec sheet], range 0–100% rh). 15 [han24, Table 3] sensors total. Missing-data: Y1 1.95%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is ±5% over 1–100% rh. Treat that as the practical error bar. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z01/slab_temperature	F	slab temperature, zone Z01 (basement)	Slab temperature for zone Z01 (basement). Sensor: Minco S101144 / S469 / S665PDY48BC / S667PDY40BC RTD ribbon (polyimide film with adhesive backing) [sensorinfo, "Slab Temperature" spec sheet] (accuracy ±0.13% [sensorinfo, "Slab Temperature" spec sheet]). 20 [han24, Table 3] sensors total. Missing-data: Y1 3.13%, Y2 0.57%. Installed-system accuracy in [report, Appendix Table A] is ±1°C at 0°C, ±1.5°C across -30–25°C, ±2.5°C across -30–70°C, ±4°C across -30–130°C. Treat as the practical error bar. Correction: [han24] states slab temperature is in °C, but the released CSV values are in the 60–90 range and are clearly Fahrenheit; gen_names.py records the unit as F. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
